"CATEGORY (do NOT modify)","TEXT TO TRANSLATE (do NOT modify)","TRANSLATION (edit this column)","NOTES (do NOT modify)"
"default","{{item1}}, {{item2}}","",""
"default","Hi,","",""
"default","Quote from {{title}}","",""
"default","Comment","",""
"default","Share:","",""
"default","Copy link","",""
"default","Copied","",""
"default","Read at the quote","",""
"default","Account deletion confirmation code","",""
"default","You started the process to permanently delete your {{name}} account. If you have changed your mind, you may discard this email. To proceed, enter the following code into the text field where you began the account deletion process.","",""
"default","Account deletion confirmation code: {{code}}","",""
"default","Note: This code expires in 15 minutes.","",""
"default","Book Default","",""
"default","Login code","",""
"default","Your login code: {{code}}","",""
"default","Enter this code into the native or web app.","",""
"enhanced","This launch link has expired.","",""
"enhanced","Reading due soon â€“ {{book_title}}","",""